transaction number,sales date,physician id,product id,territory id,qty,sales value,sale status
S0000375,2026-02-02,D000255,P004,T049,62,21145.21,Valid
S0001583,2026-06-23,D000155,P014,T027,7,15366.54,Valid
S0001525,2026-06-25,D000124,P019,T027,27,41633.78,Valid
S0000511,2026-01-14,D000290,P029,T031,21,40966.06,Valid
S0002831,2026-01-24,D000165,P003,T044,10,22713.67,Valid
S0000874,2026-01-13,D000040,P018,T022,33,51443.2,Valid
S0002705,2026-06-19,D000227,P011,T026,21,22090.75,Valid
S0001972,2026-05-17,D000249,P016,T031,23,43396.05,Valid
S0003087,2026-03-05,D000273,P018,T021,18,27972.01,Valid
S0001790,2026-07-06,D000089,P004,T016,75,25295.43,Valid
S0001812,2026-04-01,D000138,P027,T016,13,16315.97,Valid
S0000949,2026-05-12,D000007,P003,T022,17,37714.47,Valid
S0000911,2026-03-23,D000178,P023,T022,10,24163.95,Valid
S0003504,2026-01-12,D000242,P028,T011,19,25862.51,Cancelled
S0003668,2026-04-17,D000153,P007,T013,63,32813.67,Valid
S0000444,2026-02-11,D000076,P010,T049,8,12152.73,Valid
S0002304,2026-05-13,D000279,P001,T039,10,14834.84,Valid
S0002061,2026-03-10,D000260,P018,T006,27,41193.96,Cancelled
S0001535,2026-02-14,D000161,P016,T027,4,8336.59,Valid
S0004066,2026-01-18,D000087,P007,T046,21,11091.5,Valid
S0000503,2026-05-12,D000058,P022,T049,127,35920.9,Valid
S0000517,2026-03-27,D000261,P029,T031,19,36680.32,Valid
S0003358,2026-01-11,D000171,P024,T006,9,13349.67,Valid
S0003367,2026-03-15,D000127,P024,T006,9,12612.94,Valid
S0001203,2026-07-25,D000271,P019,T049,8,12770.81,Valid
S0002033,2026-01-05,D000260,P024,T006,29,41105.68,Valid
S0003666,2026-04-14,D000103,P007,T013,63,32813.67,Valid
S0000524,2026-05-17,D000261,P029,T031,20,38962.08,Valid
S0003904,2026-07-02,D000005,P029,T002,11,21874.29,Valid
S0002264,2026-07-16,D000112,P008,T039,14,25500.9,Valid
S0000980,2026-06-22,D000268,P027,T022,34,43829.61,Valid
S0003314,2026-05-14,D000191,P011,T033,74,78895.93,Valid
S0000703,2026-07-17,D000181,P004,T006,60,20302.49,Valid
S0000022,2026-06-22,D000203,P004,T023,89,30155.76,Valid
S0000865,2026-06-03,D000012,P026,T022,462,64175.83,Valid
S0000138,2026-07-12,D000199,P009,T023,9,12067.42,Valid
S0001696,2026-07-17,D000162,P026,T016,624,86637.45,Valid
S0003872,2026-06-03,D000005,P014,T002,18,39207.47,Valid
S0003556,2026-07-12,D000265,P029,T011,9,16878.05,Valid
S0002392,2026-02-15,D000190,P006,T039,46,71516.48,Valid
S0002678,2026-01-19,D000118,P011,T026,24,24934.6,Valid
S0003279,2026-05-15,D000182,P016,T033,8,13942.1,Valid
S0000221,2026-05-05,D000219,P019,T043,18,27763.35,Valid
S0004240,2026-06-06,D000214,P018,T048,8,13041.55,Valid
S0001543,2026-04-06,D000038,P016,T027,7,12676.82,Valid
S0002099,2026-06-13,D000235,P003,T006,7,16292.74,Valid
S0003629,2026-06-06,D000004,P027,T005,32,42001.16,Valid
S0001956,2026-01-27,D000175,P016,T031,20,37183.86,Valid
S0004004,2026-07-08,D000267,P023,T046,12,28482.71,Adjusted
S0002730,2026-06-09,D000093,P014,T026,39,82961.49,Cancelled
S0001633,2026-06-05,D000107,P002,T027,13,23582.82,Valid
S0002822,2026-06-10,D000041,P015,T026,50,37579.17,Valid
S0002030,2026-07-07,D000260,P021,T006,49,31174.61,Valid
S0003055,2026-04-22,D000066,P005,T021,28,18939.89,Valid
S0000009,2026-02-24,D000277,P004,T023,88,29885.18,Returned
S0002780,2026-04-25,D000227,P025,T026,12,29332.85,Valid
S0003365,2026-03-24,D000202,P024,T006,9,12612.94,Valid
S0003062,2026-05-02,D000066,P005,T021,54,36920.17,Valid
S0001623,2026-04-21,D000161,P002,T027,17,32353.04,Valid
S0001636,2026-06-23,D000161,P002,T027,13,23582.82,Valid
S0003717,2026-02-21,D000196,P029,T013,14,26492.38,Valid
S0001227,2026-06-20,D000025,P002,T049,12,22620.92,Valid
S0001881,2026-01-15,D000249,P012,T031,22,28994.29,Valid
S0002176,2026-05-19,D000028,P019,T020,21,33655.66,Valid
S0001105,2026-04-06,D000025,P011,T049,14,14502.08,Valid
S0003856,2026-03-11,D000131,P014,T002,23,49482.53,Valid
S0000282,2026-06-13,D000052,P030,T043,49,42045.64,Valid
S0000178,2026-02-24,D000224,P024,T043,37,52232.54,Valid
S0001111,2026-05-24,D000216,P011,T049,28,30154.95,Valid
S0003555,2026-07-07,D000081,P029,T011,9,16878.05,Valid
S0002293,2026-02-23,D000094,P001,T039,13,19167.58,Valid
S0004326,2026-04-22,D000141,P026,T048,144,20007.28,Valid
S0003611,2026-03-02,D000166,P027,T005,18,22799.0,Valid
S0002782,2026-04-04,D000093,P025,T026,12,29332.85,Returned
S0004143,2026-02-05,D000059,P022,T029,51,14520.32,Valid
S0000765,2026-04-05,D000144,P023,T042,11,25726.02,Returned
S0002774,2026-03-24,D000093,P025,T026,10,23703.75,Valid
S0000182,2026-03-01,D000163,P024,T043,20,29082.09,Valid
S0001521,2026-04-16,D000043,P019,T027,9,14343.42,Valid
S0002178,2026-06-08,D000048,P019,T020,23,36591.32,Valid
S0003834,2026-03-17,D000188,P030,T002,33,28318.21,Valid
S0003126,2026-02-13,D000176,P019,T021,36,56116.43,Valid
S0000004,2026-01-17,D000186,P004,T023,43,14478.72,Valid
S0003660,2026-01-16,D000151,P007,T013,150,78312.29,Valid
S0000557,2026-01-18,D000290,P011,T031,24,25068.7,Valid
S0001643,2026-01-16,D000038,P010,T027,8,12353.38,Valid
S0004046,2026-03-10,D000135,P024,T046,8,11354.88,Valid
S0003022,2026-03-15,D000273,P014,T021,10,22279.83,Valid
S0003499,2026-07-19,D000179,P003,T011,6,14584.87,Valid
S0003345,2026-06-25,D000245,P020,T033,63,60886.67,Valid
S0002811,2026-04-07,D000227,P015,T026,49,36684.98,Valid
S0004001,2026-06-06,D000087,P023,T046,13,30419.13,Valid
S0000883,2026-03-04,D000268,P018,T022,50,77608.79,Valid
S0000093,2026-04-08,D000077,P030,T023,48,41121.56,Valid
S0003329,2026-02-13,D000182,P020,T033,26,25330.84,Valid
S0004017,2026-03-26,D000036,P004,T046,61,20709.05,Valid
S0002134,2026-01-14,D000260,P005,T006,45,31044.69,Valid
S0001238,2026-02-03,D000015,P010,T049,16,25150.07,Valid
S0000092,2026-03-26,D000077,P030,T023,81,70262.89,Valid
S0001528,2026-01-21,D000107,P016,T027,8,15683.64,Valid
S0003039,2026-06-06,D000213,P014,T021,8,17625.48,Adjusted
S0003469,2026-06-13,D000236,P027,T006,10,12467.68,Returned
S0001124,2026-07-24,D000253,P011,T049,12,13087.55,Valid
S0003715,2026-01-09,D000196,P029,T013,18,34114.61,Valid
S0002140,2026-03-07,D000235,P005,T006,62,42459.27,Valid
S0001601,2026-05-01,D000248,P027,T027,32,40909.11,Valid
S0003705,2026-05-09,D000212,P018,T013,17,26399.94,Valid
S0002363,2026-01-08,D000233,P030,T039,34,29368.71,Valid
S0002094,2026-05-04,D000235,P003,T006,7,15285.97,Valid
S0000223,2026-05-27,D000091,P019,T043,18,27763.35,Valid
S0000878,2026-02-21,D000178,P018,T022,18,27083.58,Valid
S0000438,2026-01-13,D000172,P010,T049,12,18814.24,Valid
S0002490,2026-06-07,D000114,P002,T039,11,20321.45,Valid
S0001825,2026-01-02,D000162,P017,T016,33,45627.57,Valid
S0000489,2026-01-14,D000058,P022,T049,120,33995.79,Cancelled
S0000802,2026-06-27,D000049,P015,T040,35,26348.71,Valid
S0002376,2026-05-02,D000259,P030,T039,32,27662.03,Valid
S0003565,2026-03-13,D000018,P026,T005,117,16227.57,Adjusted
S0000872,2026-07-19,D000050,P026,T022,148,20521.75,Valid
S0002781,2026-04-19,D000118,P025,T026,12,29332.85,Valid
S0002014,2026-03-07,D000235,P021,T006,60,38008.93,Valid
S0002287,2026-06-04,D000019,P002,T039,8,15293.96,Valid
S0003178,2026-01-14,D000170,P008,T033,7,12784.3,Valid
S0002571,2026-01-12,D000104,P026,T039,146,20278.75,Valid
S0001309,2026-04-07,D000204,P023,T032,8,19736.0,Valid
S0003248,2026-04-11,D000079,P019,T033,18,29020.43,Valid
S0001961,2026-03-15,D000274,P016,T031,11,20735.61,Valid
S0003417,2026-02-12,D000171,P012,T006,13,17243.05,Adjusted
S0003737,2026-07-11,D000051,P029,T013,10,18877.05,Valid
S0000367,2026-07-02,D000039,P021,T049,63,39735.4,Valid
S0002150,2026-06-21,D000235,P005,T006,46,31170.95,Valid
S0003465,2026-05-07,D000064,P027,T006,16,20217.56,Adjusted
S0003097,2026-07-12,D000273,P018,T021,38,59043.81,Valid
S0000963,2026-01-06,D000164,P027,T022,28,36714.9,Valid
S0004013,2026-02-17,D000037,P004,T046,63,21238.09,Valid
S0002035,2026-02-26,D000235,P024,T006,55,78578.09,Cancelled
S0003808,2026-02-27,D000078,P008,T013,16,30299.3,Valid
S0002244,2026-02-13,D000211,P008,T039,19,35251.41,Valid
S0004069,2026-01-12,D000280,P007,T046,21,11091.5,Valid
S0003674,2026-05-06,D000150,P007,T013,46,24262.32,Valid
S0003018,2026-02-21,D000066,P014,T021,22,46420.59,Valid
S0002540,2026-07-01,D000068,P017,T039,28,39817.72,Valid
S0002670,2026-07-06,D000297,P014,T031,6,12886.19,Cancelled
S0003120,2026-07-16,D000273,P008,T021,48,88965.67,Valid
S0004097,2026-03-03,D000030,P019,T029,15,22805.5,Valid
S0001510,2026-02-01,D000145,P019,T027,5,8534.38,Valid
S0002855,2026-01-25,D000022,P020,T044,31,29773.44,Valid
S0001070,2026-02-17,D000053,P008,T003,15,28475.96,Valid
S0001541,2026-03-08,D000124,P016,T027,5,8367.98,Valid
S0002145,2026-04-20,D000260,P005,T006,48,33115.06,Valid
S0004195,2026-02-06,D000042,P014,T029,3,7124.88,Valid
S0001287,2026-07-07,D000271,P013,T049,15,27171.73,Valid
S0004170,2026-02-18,D000239,P007,T029,50,25874.59,Valid
S0000013,2026-03-13,D000277,P004,T023,49,16659.97,Valid
S0000242,2026-03-03,D000017,P009,T043,12,16804.82,Valid
S0003111,2026-04-26,D000066,P008,T021,14,25366.84,Valid
S0001090,2026-06-08,D000053,P008,T003,12,22400.42,Valid
S0000334,2026-05-01,D000058,P002,T049,27,50715.7,Valid
S0003820,2026-07-11,D000212,P008,T013,9,16234.9,Valid
S0004035,2026-07-05,D000280,P004,T046,94,31837.0,Valid
S0002531,2026-03-18,D000243,P017,T039,46,64506.97,Valid
S0002859,2026-02-15,D000223,P020,T044,48,45884.14,Valid
S0004202,2026-03-22,D000281,P014,T029,12,25963.16,Valid
S0004330,2026-04-25,D000218,P026,T048,144,20007.28,Valid
S0002621,2026-01-14,D000197,P023,T031,36,84837.38,Valid
S0001940,2026-03-10,D000175,P029,T031,9,18255.32,Cancelled
S0002744,2026-02-11,D000227,P012,T026,23,31314.06,Valid
S0000531,2026-07-11,D000261,P029,T031,40,77649.03,Valid
S0004253,2026-02-18,D000262,P003,T048,5,10977.23,Valid
S0002800,2026-01-13,D000225,P015,T026,30,22551.17,Valid
S0003346,2026-06-16,D000086,P020,T033,63,60886.67,Valid
S0003757,2026-05-15,D000258,P010,T013,13,19705.95,Adjusted
S0001448,2026-05-10,D000073,P010,T032,17,27130.55,Adjusted
S0003057,2026-04-15,D000273,P005,T005,28,18939.89,Valid
S0000779,2026-02-19,D000065,P015,T042,15,11501.08,Valid
S0004230,2026-03-12,D000262,P018,T048,10,15187.22,Valid
S0000089,2026-02-27,D000203,P030,T023,88,76399.87,Valid
S0000614,2026-03-08,D000152,P005,T031,39,26896.92,Valid
S0003541,2026-04-07,D000111,P029,T011,4,7459.59,Cancelled
S0000708,2026-01-12,D000062,P007,T006,83,43443.48,Valid
S0003344,2026-05-02,D000275,P020,T033,18,17663.16,Valid
S0000572,2026-05-07,D000290,P011,T031,23,24134.67,Valid
S0000582,2026-01-14,D000152,P021,T031,37,23618.79,Valid
S0001900,2026-06-02,D000249,P012,T031,13,17609.88,Valid
S0001905,2026-06-20,D000101,P012,T031,13,17609.88,Cancelled
S0002636,2026-06-24,D000197,P023,T031,17,39435.94,Valid
S0002237,2026-06-22,D000048,P002,T020,9,16151.7,Valid
S0003187,2026-03-18,D000170,P008,T033,7,12802.32,Valid
S0001847,2026-07-10,D000137,P017,T016,18,24715.94,Valid
S0000270,2026-02-24,D000052,P030,T043,43,36772.83,Valid
S0000362,2026-06-08,D000076,P021,T049,66,41774.3,Valid
S0004261,2026-03-24,D000157,P003,T048,6,14082.52,Valid
S0000258,2026-06-10,D000045,P009,T043,13,17532.14,Valid
S0001153,2026-01-20,D000192,P026,T049,166,23024.24,Valid
S0000987,2026-01-05,D000241,P004,T003,80,26997.64,Valid
S0000894,2026-06-11,D000126,P018,T022,21,31799.56,Valid
S0003219,2026-04-06,D000079,P018,T033,8,13025.42,Valid
S0004002,2026-06-04,D000280,P023,T046,13,30419.13,Valid
S0003037,2026-06-03,D000066,P014,T021,8,17625.48,Valid
S0002357,2026-06-25,D000090,P003,T039,12,27070.79,Valid
S0000810,2026-01-16,D000126,P019,T022,29,45832.02,Valid
S0002080,2026-03-10,D000235,P003,T006,6,13871.99,Valid
S0002425,2026-03-09,D000054,P019,T039,6,9090.62,Valid
S0002480,2026-04-24,D000243,P002,T039,14,26882.74,Valid
S0000790,2026-03-27,D000144,P015,T042,30,22300.96,Valid
S0000326,2026-03-01,D000076,P002,T049,26,48955.02,Valid
S0004135,2026-06-07,D000059,P025,T029,17,42035.77,Valid
S0003004,2026-06-27,D000176,P009,T021,17,22788.93,Valid
S0000231,2026-01-08,D000045,P009,T043,11,14417.68,Valid
S0001356,2026-02-27,D000024,P021,T032,31,19668.59,Valid
S0002937,2026-02-10,D000022,P017,T044,18,25085.45,Valid
S0000309,2026-06-25,D000052,P021,T043,36,22651.19,Valid
S0000631,2026-01-20,D000291,P025,T031,14,33484.67,Valid
S0000305,2026-05-11,D000091,P021,T043,34,21402.4,Valid
S0000095,2026-04-24,D000199,P030,T023,48,41121.56,Valid
S0000348,2026-01-05,D000058,P021,T049,56,35667.7,Valid
S0001154,2026-02-04,D000289,P026,T049,329,45681.84,Valid
S0003235,2026-07-03,D000079,P018,T033,6,9750.8,Valid
S0003245,2026-02-21,D000086,P019,T033,12,19077.51,Valid
S0001375,2026-01-20,D000283,P002,T032,40,74125.97,Valid
S0001591,2026-02-19,D000139,P027,T027,18,22849.94,Valid
S0001560,2026-01-08,D000107,P014,T027,7,14939.7,Valid
S0000044,2026-04-03,D000186,P001,T023,37,56365.35,Valid
S0002259,2026-05-07,D000090,P008,T039,19,35485.26,Valid
S0001118,2026-06-07,D000192,P011,T049,13,13388.14,Valid
S0001839,2026-06-11,D000162,P017,T016,21,28837.51,Valid
S0000214,2026-03-26,D000224,P019,T043,14,22706.46,Valid
S0000097,2026-05-26,D000149,P030,T023,26,22139.17,Valid
S0000787,2026-03-17,D000065,P015,T042,30,22300.96,Valid
S0003477,2026-01-05,D000270,P003,T011,5,11302.62,Valid
S0002027,2026-07-19,D000235,P021,T006,49,31174.61,Valid
S0004199,2026-02-05,D000059,P014,T029,3,7124.88,Valid
S0000455,2026-06-08,D000244,P010,T047,10,15902.83,Valid
S0002557,2026-04-07,D000237,P016,T039,12,22761.67,Valid
S0001516,2026-03-21,D000043,P019,T027,6,9093.48,Valid
S0002322,2026-04-05,D000094,P019,T039,7,10410.64,Valid
S0003144,2026-07-06,D000122,P019,T021,15,22992.77,Valid
S0001485,2026-03-05,D000124,P004,T027,165,55840.44,Valid
S0001954,2026-07-21,D000101,P029,T031,7,13101.24,Valid
S0000556,2026-07-20,D000152,P013,T031,13,24547.85,Valid
S0000601,2026-07-25,D000261,P021,T031,18,11734.98,Valid
S0003943,2026-04-02,D000131,P002,T002,11,20754.08,Valid
S0000649,2026-06-23,D000290,P025,T031,21,51385.02,Valid
S0004244,2026-06-12,D000069,P018,T048,8,13041.55,Valid
S0000655,2026-01-16,D000276,P015,T006,30,22218.8,Valid
S0001187,2026-04-14,D000253,P019,T049,9,14836.24,Valid
S0001830,2026-03-04,D000154,P017,T016,49,69320.28,Valid
S0001487,2026-04-24,D000043,P004,T027,69,23523.94,Valid
S0000617,2026-04-02,D000290,P005,T031,32,21745.15,Valid
S0000369,2026-07-24,D000058,P021,T049,63,39735.4,Valid
S0000088,2026-01-01,D000238,P030,T023,24,20864.47,Cancelled
S0002816,2026-05-20,D000225,P015,T026,43,32113.58,Valid
S0002501,2026-02-19,D000220,P029,T039,16,29968.21,Valid
S0002852,2026-07-06,D000266,P003,T044,15,33709.65,Valid
S0000618,2026-04-13,D000261,P005,T031,32,21745.15,Valid
S0002627,2026-02-01,D000197,P023,T031,11,27199.35,Cancelled
S0000706,2026-01-10,D000181,P007,T006,83,43443.48,Valid
S0003053,2026-03-23,D000122,P005,T021,34,23497.29,Valid
S0002120,2026-05-25,D000147,P010,T006,18,28154.97,Returned
S0002260,2026-06-22,D000211,P008,T039,21,38963.33,Valid
S0004119,2026-02-14,D000229,P025,T029,8,18611.04,Valid
S0002762,2026-06-11,D000227,P012,T026,37,49391.86,Valid
S0001927,2026-06-27,D000175,P025,T031,17,41119.56,Valid
S0003035,2026-06-18,D000100,P014,T021,8,17625.48,Valid
S0002246,2026-02-25,D000121,P008,T039,19,35251.41,Valid
S0003899,2026-06-18,D000005,P029,T002,12,22620.34,Valid
S0000889,2026-04-04,D000293,P018,T022,19,29785.99,Valid
S0000546,2026-05-02,D000152,P013,T031,12,22422.49,Valid
S0001384,2026-04-11,D000085,P002,T032,19,34741.81,Valid
S0001819,2026-07-02,D000169,P027,T016,14,18296.51,Returned
S0001725,2026-06-25,D000067,P029,T016,8,16142.74,Valid
S0002947,2026-05-09,D000063,P017,T044,47,66007.73,Valid
S0004354,2026-02-27,D000027,P027,T048,13,17187.2,Valid
S0000590,2026-04-01,D000291,P021,T031,18,11416.29,Valid
S0001508,2026-01-14,D000155,P019,T027,5,7607.26,Valid
S0000715,2026-04-04,D000062,P007,T006,136,71258.63,Valid
S0000917,2026-04-14,D000268,P023,T022,6,13669.86,Valid
S0002866,2026-04-19,D000223,P020,T044,23,22538.89,Valid
S0001414,2026-04-14,D000136,P005,T032,11,7717.85,Valid
S0004109,2026-06-09,D000030,P019,T029,32,49885.48,Returned
S0004285,2026-01-20,D000218,P015,T048,31,23219.06,Valid
S0002341,2026-01-16,D000121,P003,T039,17,37789.01,Valid
S0000303,2026-04-12,D000045,P021,T043,71,45212.89,Valid
S0002574,2026-01-22,D000068,P026,T039,146,20278.75,Valid
S0001588,2026-01-16,D000145,P027,T027,13,16879.87,Valid
S0003200,2026-06-15,D000256,P008,T033,6,11567.56,Valid
S0003564,2026-03-17,D000010,P026,T005,117,16227.57,Valid
S0003322,2026-07-12,D000079,P011,T033,40,42174.15,Cancelled
S0003026,2026-04-14,D000066,P014,T021,13,28641.25,Valid
S0002805,2026-02-08,D000225,P015,T026,43,32571.47,Valid
S0004045,2026-03-04,D000087,P024,T046,8,11354.88,Valid
S0001179,2026-02-07,D000174,P019,T049,8,12331.2,Valid
S0003150,2026-02-17,D000142,P030,T033,21,17959.28,Valid
S0002696,2026-05-21,D000118,P011,T026,19,20459.48,Valid
S0000754,2026-01-04,D000144,P023,T042,5,12542.51,Valid
S0001196,2026-05-25,D000025,P019,T049,7,11158.75,Valid
S0000232,2026-01-01,D000017,P009,T043,11,14417.68,Valid
S0004106,2026-05-10,D000281,P019,T029,43,66782.12,Valid
S0000626,2026-06-21,D000152,P005,T031,35,24114.07,Valid
S0001303,2026-03-26,D000204,P023,T032,6,13241.58,Valid
S0003574,2026-05-11,D000240,P026,T005,101,13965.11,Valid
S0003916,2026-03-25,D000005,P016,T002,13,24411.88,Valid
S0001786,2026-05-13,D000137,P004,T016,63,21446.49,Valid
S0000343,2026-07-03,D000172,P002,T049,11,21380.14,Valid
S0000937,2026-02-12,D000251,P003,T022,16,36236.46,Valid
S0001921,2026-05-02,D000274,P025,T031,5,12049.82,Valid
S0000823,2026-04-26,D000164,P019,T022,11,17892.23,Valid
S0000828,2026-05-19,D000050,P019,T022,10,15961.66,Valid
S0003339,2026-05-25,D000079,P020,T033,18,17663.16,Valid
S0002197,2026-03-18,D000184,P010,T020,9,13628.3,Adjusted
S0002789,2026-06-27,D000286,P025,T026,23,55868.58,Valid
S0002200,2026-04-08,D000071,P010,T020,7,11234.15,Valid
S0003748,2026-03-23,D000294,P010,T013,13,20725.25,Valid
S0003640,2026-02-04,D000212,P017,T013,32,44519.33,Valid
S0003948,2026-05-02,D000140,P002,T002,19,35088.15,Valid
S0001620,2026-04-07,D000206,P002,T027,17,32353.04,Valid
S0004311,2026-07-04,D000069,P015,T048,16,12138.75,Valid
S0001140,2026-04-26,D000025,P022,T049,134,38039.06,Valid
S0000042,2026-04-18,D000199,P001,T023,37,56365.35,Valid
S0002677,2026-01-15,D000041,P011,T026,24,24934.6,Valid
S0002909,2026-02-16,D000063,P008,T044,36,66307.31,Valid
S0001058,2026-06-04,D000046,P027,T003,8,10818.13,Valid
S0002453,2026-06-03,D000220,P010,T039,7,11385.03,Valid
S0001647,2026-02-18,D000102,P010,T027,7,10765.78,Valid
S0000726,2026-06-17,D000055,P007,T006,47,24549.0,Valid
S0004067,2026-01-03,D000267,P007,T046,21,11091.5,Valid
S0003669,2026-04-02,D000120,P007,T013,63,32813.67,Valid
S0002511,2026-06-19,D000208,P029,T039,15,29547.2,Valid
S0002029,2026-07-19,D000147,P021,T006,49,31174.61,Valid
S0003328,2026-02-12,D000275,P020,T033,26,25330.84,Valid
S0001873,2026-06-14,D000264,P005,T031,27,18285.31,Valid
S0003481,2026-02-25,D000146,P003,T026,17,37895.78,Valid
S0000731,2026-01-24,D000288,P010,T042,37,57386.05,Valid
S0002803,2026-02-18,D000041,P015,T026,43,32571.47,Valid
S0003234,2026-07-02,D000191,P018,T033,6,9750.8,Valid
S0000115,2026-02-10,D000056,P009,T023,11,14761.71,Valid
S0003309,2026-03-20,D000173,P011,T033,28,30026.56,Valid
S0003924,2026-06-27,D000131,P016,T002,14,25809.83,Valid
S0000771,2026-05-23,D000065,P023,T002,3,8014.22,Valid
S0002863,2026-03-12,D000022,P020,T044,48,46011.49,Valid
S0003449,2026-01-03,D000202,P027,T006,16,20432.51,Valid
S0002299,2026-04-09,D000006,P001,T039,29,44756.78,Valid
S0000098,2026-05-01,D000203,P030,T023,26,22139.17,Valid
S0001783,2026-05-20,D000221,P004,T016,63,21446.49,Valid
S0001200,2026-06-21,D000015,P019,T049,10,15001.93,Valid
S0004358,2026-02-16,D000218,P027,T048,13,17187.2,Valid
S0002238,2026-07-21,D000098,P002,T020,22,40658.19,Valid
S0002877,2026-06-07,D000008,P020,T044,25,23791.8,Valid
S0001313,2026-06-26,D000085,P023,T032,7,17156.34,Valid
S0003892,2026-05-19,D000131,P029,T002,14,27064.61,Cancelled
S0002702,2026-06-22,D000041,P011,T026,21,22090.75,Valid
S0000171,2026-07-07,D000285,P022,T043,31,8818.5,Valid
S0000981,2026-06-15,D000007,P027,T022,34,43829.61,Valid
S0001386,2026-04-15,D000061,P002,T032,19,34741.81,Valid
S0000477,2026-05-01,D000255,P012,T049,11,14547.43,Valid
S0002698,2026-05-08,D000225,P011,T026,19,20459.48,Valid
S0000636,2026-02-19,D000261,P025,T031,11,26380.11,Valid
S0000409,2026-02-14,D000039,P015,T049,31,23055.14,Valid
S0000739,2026-03-14,D000132,P010,T042,38,58750.24,Valid
S0001194,2026-05-21,D000271,P019,T049,7,11158.75,Valid
S0000159,2026-05-17,D000219,P022,T043,26,7294.57,Valid
S0004256,2026-02-27,D000027,P003,T048,5,10977.23,Valid
S0001806,2026-03-16,D000106,P027,T016,16,20148.02,Valid
S0002457,2026-06-08,D000104,P010,T039,7,11385.03,Valid
S0001415,2026-04-23,D000031,P005,T032,11,7717.85,Valid
S0002041,2026-04-04,D000260,P024,T006,35,49435.28,Valid
S0004018,2026-03-26,D000280,P004,T046,61,20709.05,Valid
S0003350,2026-07-08,D000079,P020,T033,19,18661.32,Valid
S0001339,2026-05-20,D000136,P008,T032,15,27453.41,Valid
S0000008,2026-02-13,D000186,P004,T023,88,29885.18,Valid
S0002797,2026-01-18,D000118,P015,T026,30,22551.17,Valid
S0002483,2026-05-10,D000068,P002,T039,24,45139.42,Valid
S0003207,2026-01-15,D000079,P018,T033,7,11335.88,Valid
S0000335,2026-06-14,D000255,P002,T049,11,20377.39,Valid
S0000929,2026-07-27,D000164,P023,T022,4,9317.84,Valid
S0000756,2026-02-12,D000288,P023,T042,5,11112.67,Valid
S0001763,2026-01-25,D000106,P004,T016,92,31028.96,Valid
S0003658,2026-07-09,D000185,P017,T013,22,30207.75,Valid
S0004137,2026-07-02,D000021,P025,T029,21,52504.69,Valid
S0003977,2026-07-09,D000267,P027,T046,46,59838.06,Valid
S0002352,2026-04-05,D000019,P003,T039,25,57465.97,Valid
S0001360,2026-03-08,D000246,P021,T032,92,58271.48,Valid
S0002660,2026-05-22,D000113,P014,T031,6,13740.13,Valid
S0003109,2026-04-15,D000122,P008,T021,14,25366.84,Valid
S0000798,2026-05-20,D000230,P015,T042,20,14800.64,Valid
S0001695,2026-06-19,D000162,P026,T016,276,38336.55,Valid
S0000291,2026-01-06,D000001,P021,T043,69,44012.96,Valid
S0001468,2026-04-01,D000073,P009,T032,10,13647.79,Valid
S0002497,2026-01-06,D000272,P029,T039,24,46554.52,Valid
S0002791,2026-07-07,D000225,P025,T026,10,25864.61,Valid
S0001668,2026-06-24,D000043,P010,T027,11,16326.17,Valid
S0001354,2026-02-22,D000061,P021,T032,31,19668.59,Valid
S0002206,2026-06-23,D000105,P010,T020,8,13117.6,Valid
S0000882,2026-03-05,D000012,P018,T022,50,77608.79,Valid
S0002885,2026-02-24,D000032,P028,T044,60,81536.7,Valid
S0002923,2026-05-16,D000032,P008,T044,13,24512.52,Valid
S0002334,2026-07-24,D000121,P019,T039,7,10867.97,Valid
S0001452,2026-06-21,D000026,P010,T032,22,33644.53,Valid
S0002894,2026-05-12,D000266,P028,T044,18,24014.17,Valid
S0002664,2026-05-09,D000035,P014,T031,6,13740.13,Valid
S0000091,2026-03-06,D000186,P030,T023,81,70262.89,Valid
S0002421,2026-03-14,D000272,P019,T039,6,9090.62,Valid
S0004134,2026-06-05,D000016,P025,T029,17,42035.77,Cancelled
S0001906,2026-07-24,D000274,P012,T031,43,57449.07,Valid
S0002876,2026-06-22,D000032,P020,T044,25,23791.8,Cancelled
S0000934,2026-01-21,D000126,P003,T022,14,32832.17,Valid
S0001285,2026-06-19,D000025,P013,T049,5,9710.35,Valid
S0002079,2026-02-12,D000117,P003,T006,11,24375.32,Valid
S0002372,2026-04-05,D000112,P030,T039,22,18678.75,Valid
S0002878,2026-07-10,D000063,P020,T044,33,31439.85,Valid
S0000316,2026-01-15,D000172,P002,T049,10,18207.67,Valid
S0000962,2026-01-02,D000007,P027,T022,28,36714.9,Valid
S0001080,2026-04-03,D000125,P008,T003,26,47356.5,Valid
S0003264,2026-01-13,D000245,P016,T033,7,13174.26,Valid
S0004321,2026-02-27,D000013,P026,T048,180,24932.48,Adjusted
S0002380,2026-06-13,D000019,P030,T039,17,14945.19,Valid
S0000788,2026-03-18,D000288,P015,T042,30,22300.96,Valid
S0001698,2026-01-03,D000067,P029,T016,8,14812.89,Returned
S0000086,2026-01-01,D000277,P030,T023,24,20864.47,Valid
S0000596,2026-05-03,D000152,P021,T031,20,12915.16,Valid
S0003761,2026-06-19,D000185,P010,T013,8,12380.17,Valid
