representative_id,doctor_id,effective_from,effective_to
FR0020,D000822,2026-01-01,
FR0013,D000823,2026-01-01,
FR0092,D000824,2026-01-01,
FR0073,D000825,2026-01-01,
FR0045,D000826,2026-01-01,
FR0084,D000827,2026-01-01,
FR0081,D000828,2026-01-01,
FR0042,D000829,2026-01-01,
FR0039,D000830,2026-01-01,
FR0022,D000831,2026-01-01,
FR0041,D000832,2026-01-01,
FR0063,D000833,2026-01-01,
FR0001,D000834,2026-01-01,
FR0093,D000835,2026-01-01,
FR0075,D000836,2026-01-01,
FR0075,D000837,2026-01-01,
FR0094,D000838,2026-01-01,
FR0092,D000839,2026-01-01,
FR0065,D000840,2026-01-01,
FR0085,D000841,2026-01-01,
FR0095,D000842,2026-01-01,
FR0031,D000843,2026-01-01,
FR0053,D000844,2026-01-01,
FR0039,D000845,2026-01-01,
FR0019,D000846,2026-01-01,
FR0013,D000847,2026-01-01,
FR0021,D000848,2026-01-01,
FR0020,D000849,2026-01-01,
FR0059,D000850,2026-01-01,
FR0006,D000851,2026-01-01,
FR0046,D000852,2026-01-01,
FR0052,D000853,2026-01-01,
FR0092,D000854,2026-01-01,
FR0030,D000855,2026-01-01,
FR0032,D000856,2026-01-01,
FR0013,D000857,2026-01-01,
FR0018,D000858,2026-01-01,
FR0015,D000859,2026-01-01,
FR0013,D000860,2026-01-01,
FR0032,D000861,2026-01-01,
FR0092,D000862,2026-01-01,
FR0064,D000863,2026-01-01,
FR0097,D000864,2026-01-01,
FR0093,D000865,2026-01-01,
FR0078,D000866,2026-01-01,
FR0063,D000867,2026-01-01,
FR0047,D000868,2026-01-01,
FR0053,D000869,2026-01-01,
FR0006,D000870,2026-01-01,
FR0092,D000871,2026-01-01,
FR0072,D000872,2026-01-01,
FR0093,D000873,2026-01-01,
FR0033,D000874,2026-01-01,
FR0096,D000875,2026-01-01,
FR0006,D000876,2026-01-01,
FR0008,D000877,2026-01-01,
FR0012,D000878,2026-01-01,
FR0066,D000879,2026-01-01,
FR0057,D000880,2026-01-01,
FR0097,D000881,2026-01-01,
FR0064,D000882,2026-01-01,
FR0001,D000883,2026-01-01,
FR0058,D000884,2026-01-01,
FR0010,D000885,2026-01-01,
FR0086,D000886,2026-01-01,
FR0010,D000887,2026-01-01,
FR0064,D000888,2026-01-01,
FR0092,D000889,2026-01-01,
FR0061,D000890,2026-01-01,
FR0075,D000891,2026-01-01,
FR0015,D000892,2026-01-01,
FR0077,D000893,2026-01-01,
FR0002,D000894,2026-01-01,
FR0007,D000895,2026-01-01,
FR0001,D000896,2026-01-01,
FR0044,D000897,2026-01-01,
FR0004,D000898,2026-01-01,
FR0039,D000899,2026-01-01,
FR0093,D000900,2026-01-01,
FR0093,D000901,2026-01-01,
FR0026,D000902,2026-01-01,
FR0031,D000903,2026-01-01,
FR0006,D000904,2026-01-01,
FR0068,D000905,2026-01-01,
FR0091,D000906,2026-01-01,
FR0037,D000907,2026-01-01,
FR0036,D000908,2026-01-01,
FR0025,D000909,2026-01-01,
FR0093,D000910,2026-01-01,
FR0074,D000911,2026-01-01,
FR0030,D000912,2026-01-01,
FR0080,D000913,2026-01-01,
FR0022,D000914,2026-01-01,
FR0065,D000915,2026-01-01,
FR0092,D000916,2026-01-01,
FR0004,D000917,2026-01-01,
FR0019,D000918,2026-01-01,
FR0015,D000919,2026-01-01,
FR0096,D000920,2026-01-01,
FR0008,D000921,2026-01-01,
FR0099,D000922,2026-01-01,
FR0075,D000923,2026-01-01,
FR0039,D000924,2026-01-01,
FR0039,D000925,2026-01-01,
FR0094,D000926,2026-01-01,
FR0083,D000927,2026-01-01,
FR0054,D000928,2026-01-01,
FR0054,D000929,2026-01-01,
FR0018,D000930,2026-01-01,
FR0098,D000931,2026-01-01,
FR0066,D000932,2026-01-01,
FR0031,D000933,2026-01-01,
FR0063,D000934,2026-01-01,
FR0025,D000935,2026-01-01,
FR0080,D000936,2026-01-01,
FR0051,D000937,2026-01-01,
FR0096,D000938,2026-01-01,
FR0047,D000939,2026-01-01,
FR0079,D000940,2026-01-01,
FR0008,D000941,2026-01-01,
FR0039,D000942,2026-01-01,
FR0047,D000943,2026-01-01,
FR0010,D000944,2026-01-01,
FR0029,D000945,2026-01-01,
FR0016,D000946,2026-01-01,
FR0091,D000947,2026-01-01,
FR0011,D000948,2026-01-01,
FR0008,D000949,2026-01-01,
FR0068,D000950,2026-01-01,
FR0045,D000951,2026-01-01,
FR0011,D000952,2026-01-01,
FR0072,D000953,2026-01-01,
FR0007,D000954,2026-01-01,
FR0081,D000955,2026-01-01,
FR0027,D000956,2026-01-01,
FR0031,D000957,2026-01-01,
FR0028,D000958,2026-01-01,
FR0096,D000959,2026-01-01,
FR0021,D000960,2026-01-01,
FR0081,D000961,2026-01-01,
FR0093,D000962,2026-01-01,
FR0005,D000963,2026-01-01,
FR0010,D000964,2026-01-01,
FR0082,D000965,2026-01-01,
FR0062,D000966,2026-01-01,
FR0092,D000967,2026-01-01,
FR0092,D000968,2026-01-01,
FR0029,D000969,2026-01-01,
FR0095,D000970,2026-01-01,
FR0085,D000971,2026-01-01,
FR0054,D000972,2026-01-01,
FR0092,D000973,2026-01-01,
FR0016,D000974,2026-01-01,
FR0087,D000975,2026-01-01,
FR0017,D000976,2026-01-01,
FR0095,D000977,2026-01-01,
FR0078,D000978,2026-01-01,
FR0058,D000979,2026-01-01,
FR0002,D000980,2026-01-01,
FR0031,D000981,2026-01-01,
FR0059,D000982,2026-01-01,
FR0008,D000983,2026-01-01,
FR0034,D000984,2026-01-01,
FR0064,D000985,2026-01-01,
FR0033,D000986,2026-01-01,
FR0083,D000987,2026-01-01,
FR0036,D000988,2026-01-01,
FR0066,D000989,2026-01-01,
FR0086,D000990,2026-01-01,
FR0080,D000991,2026-01-01,
FR0046,D000992,2026-01-01,
FR0045,D000993,2026-01-01,
FR0028,D000994,2026-01-01,
FR0002,D000995,2026-01-01,
FR0021,D000996,2026-01-01,
FR0047,D000997,2026-01-01,
FR0092,D000998,2026-01-01,
FR0041,D000999,2026-01-01,
FR0008,D001000,2026-01-01,
